phrase,category,doc_count,occurrence_count,mean_score,total_score
available tools resources,Emerging/Unmapped,1,1,0.2144,0.2144
deteriorate crm,Emerging/Unmapped,1,1,0.2144,0.2144
potential actions taken,Emerging/Unmapped,1,1,0.2133,0.2133
lean,Emerging/Unmapped,1,1,0.2131,0.2131
patterns social media,Emerging/Unmapped,1,1,0.2129,0.2129
bus rescheduling problems,Emerging/Unmapped,1,1,0.2124,0.2124
property identifiable responds,Emerging/Unmapped,1,1,0.2123,0.2123
networks varying,Emerging/Unmapped,1,1,0.2113,0.2113
budget roadway,Emerging/Unmapped,1,1,0.2106,0.2106
includes threats terrorist,Emerging/Unmapped,1,1,0.2066,0.2066
construction delays hong,Emerging/Unmapped,1,1,0.2064,0.2064
community federal state,Emerging/Unmapped,1,1,0.2046,0.2046
assets method evaluating,Emerging/Unmapped,1,1,0.202,0.202
definitions,Emerging/Unmapped,1,1,0.2018,0.2018
preparedness response mechanisms,Responsiveness,1,1,0.2013,0.2013
networks functionality delaying,Functionality,1,1,0.2002,0.2002
industrial settings leads,Emerging/Unmapped,1,1,0.1993,0.1993
rate tn,Emerging/Unmapped,1,1,0.1984,0.1984
model prioritizes preparedness,Emerging/Unmapped,1,1,0.1983,0.1983
simply combines probability,Emerging/Unmapped,1,1,0.198,0.198
populations,Equity,1,1,0.1978,0.1978
activities reduce human,Emerging/Unmapped,1,1,0.1974,0.1974
engineering georgia,Emerging/Unmapped,1,1,0.1972,0.1972
years caused extreme,Emerging/Unmapped,1,1,0.1962,0.1962
definition rurality provided,Emerging/Unmapped,1,1,0.1942,0.1942
concern weight,Emerging/Unmapped,1,1,0.1938,0.1938
management shifted,Emerging/Unmapped,1,1,0.1935,0.1935
operable supermarkets meant,Emerging/Unmapped,1,1,0.1932,0.1932
annualized reported rdr,Emerging/Unmapped,1,1,0.1928,0.1928
decision,Emerging/Unmapped,1,1,0.1918,0.1918
scale corresponding transformation,Emerging/Unmapped,1,1,0.1916,0.1916
susceptibility absorption adaptation,Adaptability,1,1,0.1916,0.1916
based management disenfranchise,Emerging/Unmapped,1,1,0.1897,0.1897
public order operational,Operational Performance,1,1,0.1894,0.1894
restoration time restoration,Restoration Speed,1,1,0.1877,0.1877
repair cost time,Emerging/Unmapped,1,1,0.1871,0.1871
thefinalplanningphaseisthelong termadaptationandormitigationactivities,Adaptability,1,1,0.1868,0.1868
gilbert 1988 hurricanes,Emerging/Unmapped,1,1,0.186,0.186
11203 lee roadmap,Emerging/Unmapped,1,1,0.1859,0.1859
aequilibrae used forecast,Emerging/Unmapped,1,1,0.1857,0.1857
synonym return restore,Emerging/Unmapped,1,1,0.1848,0.1848
growth increased,Emerging/Unmapped,1,1,0.1841,0.1841
tornadoes step,Emerging/Unmapped,1,1,0.1836,0.1836
daily life economic,Emerging/Unmapped,1,1,0.1835,0.1835
picking children day,Emerging/Unmapped,1,1,0.1832,0.1832
panel ensure,Emerging/Unmapped,1,1,0.183,0.183
measurement,Emerging/Unmapped,1,1,0.1806,0.1806
presidential,Emerging/Unmapped,1,1,0.1806,0.1806
absorb changes environment,Emerging/Unmapped,1,1,0.1802,0.1802
negotiated,Emerging/Unmapped,1,1,0.1797,0.1797
prepare adapt major,Emerging/Unmapped,1,1,0.1794,0.1794
universal grounded common,Emerging/Unmapped,1,1,0.1791,0.1791
knowledge management,Emerging/Unmapped,1,1,0.1773,0.1773
diversity using ecological,Emerging/Unmapped,1,1,0.1772,0.1772
life cycle response,Responsiveness,1,1,0.1772,0.1772
management organizational,Emerging/Unmapped,1,1,0.1755,0.1755
metricsofperformanceacross,Emerging/Unmapped,1,1,0.1752,0.1752
resourceful,Emerging/Unmapped,1,1,0.1751,0.1751
human,Emerging/Unmapped,1,1,0.1737,0.1737
vht vmt crashes,Emerging/Unmapped,1,1,0.1734,0.1734
andearthworkswithanestimatedbudgetof,Emerging/Unmapped,1,1,0.1732,0.1732
planning considers meet,Emerging/Unmapped,1,1,0.172,0.172
poverty immigrants racialized,Emerging/Unmapped,1,1,0.1708,0.1708
